mode,scenario,filesize_bytes,elapsed_s,throughput_kbps,retransmissions,timestamp
TCP,A,1048576,24.28546,42.165,0,2026-06-03T23:42:39
TCP,A,1048576,21.219959,48.256,0,2026-06-03T23:43:01
TCP,A,1048576,17.299062,59.194,0,2026-06-03T23:43:19
TCP,A,1048576,21.346436,47.971,0,2026-06-03T23:43:41
TCP,A,1048576,9.066683,112.941,0,2026-06-03T23:43:51
RUDP,A,1048576,447.224855,2.29,185,2026-06-03T23:44:07
TCP,A,1048576,23.426351,43.711,0,2026-06-03T23:44:16
TCP,A,1048576,15.703237,65.209,0,2026-06-03T23:44:32
TCP,A,1048576,13.537726,75.64,0,2026-06-03T23:44:47
TCP,A,1048576,23.268485,44.008,0,2026-06-03T23:45:11
TCP,A,1048576,20.719761,49.421,0,2026-06-03T23:45:32
TCP,A,1048576,20.320079,50.394,0,2026-06-03T23:45:53
TCP,A,1048576,15.83827,64.654,0,2026-06-03T23:46:10
TCP,A,1048576,26.625131,38.46,0,2026-06-03T23:46:37
TCP,A,1048576,22.536409,45.438,0,2026-06-03T23:47:01
TCP,A,1048576,18.600981,55.051,0,2026-06-03T23:47:20
TCP,A,1048576,18.023425,56.815,0,2026-06-03T23:47:39
TCP,A,1048576,20.804796,49.219,0,2026-06-03T23:48:00
TCP,A,1048576,18.917537,54.13,0,2026-06-03T23:48:20
TCP,A,1048576,20.997744,48.767,0,2026-06-03T23:48:42
TCP,A,1048576,21.743515,47.095,0,2026-06-03T23:49:05
RUDP,A,1048576,397.368629,2.577,160,2026-06-03T23:50:45
TCP,B,1048576,7.839627,130.618,0,2026-06-03T23:51:58
TCP,B,1048576,5.438886,188.274,0,2026-06-03T23:52:04
TCP,B,1048576,5.600099,182.854,0,2026-06-03T23:52:10
TCP,B,1048576,4.180251,244.961,0,2026-06-03T23:52:15
TCP,B,1048576,1.415444,723.448,0,2026-06-03T23:52:17
TCP,B,1048576,4.488701,228.128,0,2026-06-03T23:52:24
TCP,B,1048576,6.28826,162.843,0,2026-06-03T23:52:31
TCP,B,1048576,6.153805,166.401,0,2026-06-03T23:52:38
TCP,B,1048576,5.277828,194.019,0,2026-06-03T23:52:44
TCP,B,1048576,8.514596,120.264,0,2026-06-03T23:52:53
TCP,B,1048576,5.509952,185.846,0,2026-06-03T23:52:59
TCP,B,1048576,4.818357,212.521,0,2026-06-03T23:53:04
TCP,B,1048576,5.795367,176.693,0,2026-06-03T23:53:11
TCP,B,1048576,5.955215,171.95,0,2026-06-03T23:53:17
TCP,B,1048576,6.188055,165.48,0,2026-06-03T23:53:24
TCP,B,1048576,0.407935,2510.204,0,2026-06-03T23:53:25
TCP,B,1048576,4.132,247.822,0,2026-06-03T23:53:30
TCP,B,1048576,2.426956,421.928,0,2026-06-03T23:53:33
TCP,B,1048576,3.173412,322.681,0,2026-06-03T23:53:37
TCP,B,1048576,4.023133,254.528,0,2026-06-03T23:53:41
RUDP,A,1048576,229.551098,4.461,94,2026-06-03T23:54:37
TCP,C,1048576,16.109667,63.564,0,2026-06-03T23:57:25
TCP,C,1048576,16.412228,62.393,0,2026-06-03T23:57:42
TCP,C,1048576,21.81542,46.939,0,2026-06-03T23:58:05
TCP,C,1048576,15.270816,67.056,0,2026-06-03T23:58:21
TCP,C,1048576,22.155394,46.219,0,2026-06-03T23:58:44
TCP,C,1048576,20.411448,50.168,0,2026-06-03T23:59:05
TCP,C,1048576,14.306308,71.577,0,2026-06-03T23:59:20
RUDP,A,1048576,303.344189,3.376,127,2026-06-03T23:59:41
TCP,C,1048576,24.558307,41.697,0,2026-06-03T23:59:46
TCP,C,1048576,19.808718,51.694,0,2026-06-04T00:00:07
TCP,C,1048576,17.36633,58.965,0,2026-06-04T00:00:25
TCP,C,1048576,12.218359,83.808,0,2026-06-04T00:00:38
TCP,C,1048576,22.079233,46.378,0,2026-06-04T00:01:00
TCP,C,1048576,14.712233,69.602,0,2026-06-04T00:01:16
TCP,C,1048576,20.115999,50.905,0,2026-06-04T00:01:37
TCP,C,1048576,16.05867,63.766,0,2026-06-04T00:01:53
TCP,C,1048576,19.434695,52.689,0,2026-06-04T00:02:14
TCP,C,1048576,22.003905,46.537,0,2026-06-04T00:02:36
TCP,C,1048576,24.178414,42.352,0,2026-06-04T00:03:01
TCP,C,1048576,10.361283,98.829,0,2026-06-04T00:03:12
TCP,C,1048576,18.85221,54.317,0,2026-06-04T00:03:32
RUDP,A,1048576,420.959275,2.433,172,2026-06-04T00:06:43
RUDP,A,1048576,438.731841,2.334,181,2026-06-04T00:14:02
